aug_k,aug_path,aug_rms_reproj_px,aug_roll_rad,aug_x_m,aug_y_m,aug_z_m,augtype,base,best_patch_index,best_patch_score_rms_reproj_px,chosen_patch_box,delta_w_angle_deg,delta_x_m,delta_y_m,delta_z_m,idx,orig_path,orig_rms_reproj_px,orig_roll_rad,orig_x_m,orig_y_m,orig_z_m,patch_mode
3,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0001_gt_rotation_3.jpg,285.7102455889723,0.9359259779375118,0.24680818156523077,0.1977396659876708,0.06907254760693837,rotation,gt,2,295.5372777093828,"(np.int64(1536), np.int64(0), np.int64(2304), np.int64(432))",105.76671791459542,-1.9243726420663327,4.150223782615231,6.018028288040489,0001,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0001_gt.jpg,305.3643098297933,-2.4583676757710444,2.1711808236315635,-3.95248411662756,-5.948955740433551,True
1,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0001_gt_translation_1.jpg,291.6083908824082,-0.19777744686492646,-0.19843540289832898,0.2682670819121057,0.006345787998348118,translation,gt,19,304.54374208418915,"(np.int64(3072), np.int64(1296), np.int64(3840), np.int64(1728))",104.32096894466656,-0.2452461762282025,0.3364693068489249,-0.29355671747907425,0001,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0001_gt.jpg,317.4790932859701,1.5304744490764577,0.04681077332987352,-0.06820222493681923,0.29990250547742237,True
2,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0001_gt_translation_2.jpg,315.8135211288529,1.5692840129593897,-0.014239796467043646,0.07611305383653182,0.3006150170018153,translation,gt,15,304.58384143574426,"(np.int64(0), np.int64(1296), np.int64(768), np.int64(1728))",76.09665371883507,0.23304370425865006,0.22260151302921977,0.1996507596152642,0001,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0001_gt.jpg,293.3541617426356,1.7941975395570489,-0.24728350072569372,-0.14648845919268796,0.1009642573865511,True
3,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0001_gt_translation_3.jpg,290.1629442039687,2.256185952351941,0.10292708068201695,0.19490874492411675,0.21196331500432766,translation,gt,4,299.42845492489886,"(np.int64(3072), np.int64(0), np.int64(3840), np.int64(432))",129.1492681515877,-3.6592046948016583,3.1337739890354137,6.600423468845797,0001,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0001_gt.jpg,308.693965645829,0.8086497626682243,3.762131775483675,-2.938865244111297,-6.38846015384147,True
1,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0001_moire_blackbox_1.jpg,303.9262699031426,3.141592653589793,-3.0335336165216704,3.0335336173492653,-5.065968551069602,blackbox,moire,0,304.8233470831419,"(np.int64(0), np.int64(0), np.int64(768), np.int64(432))",46.199626397238696,1.6661404778021653,6.244025975473148,2.9844768332035265,0001,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0001_moire.jpg,305.7204242631413,-2.3231442137109055,-4.699674094323836,-3.210492358123883,-8.050445384273129,True
2,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0001_moire_blackbox_2.jpg,297.5699531490011,1.6287320360122337,0.3403150420368294,-1.236669816813369,-0.12363497738451534,blackbox,moire,7,302.2014826261566,"(np.int64(1536), np.int64(432), np.int64(2304), np.int64(864))",47.85661353712831,0.13966641745912256,5.115847952420203,8.018766850734306,0001,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0001_moire.jpg,306.8330121033121,1.8135256664793993,0.20064862457770682,-6.352517769233572,-8.142401828118821,True
3,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0001_moire_blackbox_3.jpg,295.6715026510047,-3.091174724611444,-0.04095912684805181,0.046569801639094834,0.3077705896760164,blackbox,moire,10,303.8993871740421,"(np.int64(0), np.int64(864), np.int64(768), np.int64(1296))",52.49565977780114,0.2175032933921121,-0.05192133940613033,0.163256615836502,0001,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0001_moire.jpg,312.1272716970795,-2.9815949597643865,-0.2584624202401639,0.09849114104522516,0.1445139738395144,True
1,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0001_moire_rotation_1.jpg,302.48262538188595,0.29846616747989757,0.32831851089756175,0.021876300530336224,0.1233215065869544,rotation,moire,3,305.07402294128354,"(np.int64(2304), np.int64(0), np.int64(3072), np.int64(432))",84.62372938773167,0.36929872853655016,0.2216633943936082,-0.10244901570753165,0001,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0001_moire.jpg,307.66542050068114,1.6056973971818471,-0.0409802176389884,-0.19978709386327195,0.22577052229448605,True
2,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0001_moire_rotation_2.jpg,305.09135897758546,2.7326493208740974,2.3525442578881592,-4.714040216729974,-7.320274523753331,rotation,moire,1,304.863358796394,"(np.int64(768), np.int64(0), np.int64(1536), np.int64(432))",24.23662159272007,-1.271913274611228,-3.1317685858395947,-2.4938654775725144,0001,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0001_moire.jpg,304.63535861520245,2.471228897824528,3.6244575324993873,-1.5822716308903793,-4.8264090461808165,True
3,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0001_moire_rotation_3.jpg,303.9262699031426,3.141592653589793,-3.0335336165216704,3.0335336173492653,-5.065968551069602,rotation,moire,0,304.8233470831419,"(np.int64(0), np.int64(0), np.int64(768), np.int64(432))",46.199626397238696,1.6661404778021653,6.244025975473148,2.9844768332035265,0001,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0001_moire.jpg,305.7204242631413,-2.3231442137109055,-4.699674094323836,-3.210492358123883,-8.050445384273129,True
