aug_k,aug_path,aug_rms_reproj_px,aug_roll_rad,aug_x_m,aug_y_m,aug_z_m,augtype,base,best_patch_index,best_patch_score_rms_reproj_px,chosen_patch_box,delta_w_angle_deg,delta_x_m,delta_y_m,delta_z_m,idx,orig_path,orig_rms_reproj_px,orig_roll_rad,orig_x_m,orig_y_m,orig_z_m,patch_mode
3,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0303_gt_rotation_3.jpg,347.01323518610945,3.1344500742737025,2.636507703784712,0.24902139796029624,-0.6171189412529277,rotation,gt,,,,33.095402284349724,-2.2145383443420563,0.15313083498842994,4.41008294306177,0303,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0303_gt.jpg,353.7087084086464,-1.9594408529326497,4.8510460481267685,0.09589056297186628,-5.027201884314698,False
1,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0303_gt_translation_1.jpg,358.7292300972515,0.19183726543565383,6.737322674531243,0.42149290095897946,-9.193781764524347,translation,gt,,,,7.854916259862866,1.8862766264044746,0.3256023379871132,-4.16657988020965,0303,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0303_gt.jpg,353.7087084086464,-1.9594408529326497,4.8510460481267685,0.09589056297186628,-5.027201884314698,False
2,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0303_gt_translation_2.jpg,352.0298669310803,3.0282184237089584,6.097446644352971,-0.3367977685103469,-7.868748716143978,translation,gt,,,,6.777178913677445,1.2464005962262021,-0.43268833148221314,-2.8415468318292803,0303,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0303_gt.jpg,353.7087084086464,-1.9594408529326497,4.8510460481267685,0.09589056297186628,-5.027201884314698,False
3,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0303_gt_translation_3.jpg,352.5868677113186,-643.8110309254334,6.57189219617594,-1.6511000990970102,-10.049219443096238,translation,gt,,,,13.787683818874276,1.720846148049171,-1.7469906620688764,-5.02201755878154,0303,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0303_gt.jpg,353.7087084086464,-1.9594408529326497,4.8510460481267685,0.09589056297186628,-5.027201884314698,False
1,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0303_moire_blackbox_1.jpg,352.947131888412,-3.135636238632863,8.237861482481573,8.264103037275056,-21.17540159468839,blackbox,moire,,,,43.45571011534113,4.323705394771292,13.86769405260194,-8.776889788851157,0303,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0303_moire.jpg,353.2787622963948,-3.132068015070031,3.914156087710282,-5.603591015326884,-12.39851180583723,False
2,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0303_moire_blackbox_2.jpg,358.1986422815969,0.0,5.12885557481307,-5.1288555851668765,-12.18250194715198,blackbox,moire,,,,5.34724861470836,1.2146994871027879,0.47473543016000797,0.21600985868525058,0303,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0303_moire.jpg,353.2787622963948,-3.132068015070031,3.914156087710282,-5.603591015326884,-12.39851180583723,False
3,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0303_moire_blackbox_3.jpg,352.947131888412,-3.135636238632863,8.237861482481573,8.264103037275056,-21.17540159468839,blackbox,moire,,,,43.45571011534113,4.323705394771292,13.86769405260194,-8.776889788851157,0303,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0303_moire.jpg,353.2787622963948,-3.132068015070031,3.914156087710282,-5.603591015326884,-12.39851180583723,False
1,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0303_moire_rotation_1.jpg,356.8878340336194,-1892.235934239414,6.048568736810097,-7.073030283154338,-17.54829110681952,rotation,moire,,,,2.8205095396757622,2.134412649099815,-1.469439267827454,-5.1497793009822885,0303,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0303_moire.jpg,353.2787622963948,-3.132068015070031,3.914156087710282,-5.603591015326884,-12.39851180583723,False
2,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0303_moire_rotation_2.jpg,375.2227737632089,10080.834444698676,0.006176246738126868,-0.014643520133114433,0.5440485952165488,rotation,moire,,,,149.49406135175522,-3.907979840972155,5.58894749519377,12.942560401053779,0303,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0303_moire.jpg,353.2787622963948,-3.132068015070031,3.914156087710282,-5.603591015326884,-12.39851180583723,False
3,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\augmented_9x\0303_moire_rotation_3.jpg,357.7250894333081,-0.5067400792604692,3.7679811275582438,-5.598830247983038,-13.10845010669415,rotation,moire,,,,1.692709285531592,-0.14617496015203812,0.004760767343846339,-0.7099383008569191,0303,C:\Users\USER\Desktop\project\calibration\moire\datasets\test\0303_moire.jpg,353.2787622963948,-3.132068015070031,3.914156087710282,-5.603591015326884,-12.39851180583723,False
